Manufactuer,Model,mpg,Transmission,Displacement,Carburetor,Axle Ratio
TOYOTA,MARK  11  WAGON,15.2,A3,156,2 BARREL,4.11
TOYOTA,MARK 11 SEDAN,15.2,M4,156,2 BARREL,3.90
FORD,MAVERICK,15,A3,200,1 BARREL,2.79
NISSAN,DATSUN  2602,15.0,M4,157,2 BARREL,3.36
TOYOTA,MARK  11  SEDAN,15.0,M4,156,2 BARREL,3.90
CHEVROLET,VEGA KAMMBACK,14.9,A3,140,2 BARREL,3.36
AUDI (AUTO  UNION),AUDI  100,14.8,A3,114,2 BARREL,3.91
AUDI  (AUTO UNION),AUDI  100,14.5,A3,114,2 BARREL,3.91
TOYO KOGYO,COURIER PICKUP,14.3,A3,110,2 BARREL,4.63
TOYO  KOGYO,COURIER  PICKUP,14.2,M4,110,2 BARREL,4.11
FORD,"MAVERICK
GREMLIN",14,A3,200,1 BARREL,2.79
AMERICAN  MOTORS,GREMLIN,13.2,M4,258,1 BARREL,3.08
TOYO  KOGYO,MAZDA   ROTARY  PICKUP,12.8,M4,80,4 BARREL,4.63
AMERICAN  MOTORS,UNIVERSAL,12.1,M3,258,1 BARREL,4.27
AMERICAN  MOTORS,UNIVERSAL,11.5,M3,304,2 BARREL,3.73
AMERICAN  MOTORS,UNIVERSAL,11.1,M3,232,1 BARREL,4.27
TOYO  KOGYO,MAZDA  RX4  WAGON,10.4,M4,80,4 BARREL,3.90
TOYO  KOGYO,MAZDA  RX4  COUPE,10.3,A3,80,4 BARREL,3.90
FERRARI,DINO 246 GT,10.0,M5,148,6 BARREL,4.21
AMERICAN  MOTORS,UNIVERSAL,"
9.8",M4,258,1 BARREL,4.27
FERRARI,DINO  246  GT,9.2,MS,148,6 BARREL,4.21
AMERICAN  MOTORS,MATADOR,11.6,A3,304,2 BARREL,3.15
(CHRYS)  PLYMOUTH,PlYMOUTH  INTERMEDIATE,11.6,A3,318,2 BARREL,2.71
MASERATI,BORA,11.6,MS,301,8 BARREL,3.77
(CHRYS)  DODGE,DODGE  SPORT  WAGON,11.5,M3,225,1 BARREL,3.90
FORD,F-100,11.3,A3,240,1 BARREL,3.50
IHC,SCOUT  (2WD),11.3,A3,258,l BARREL,4.27
IHC,100  PICKUP  (2WD),11.1,M4,258,1 BARREL,4.09
AVANT!,AVANT! COUPE,11.0,A3,400,4 BARREL,3.36
(CHRYSJ PLYMOUTH,PLYMOUTH COMPACT,10.9,A3,360,4 BARREL,2.94
AMERICAN MOTORS,JAVELIN,10.8,M4,360,4 BARREL,3.54
MERCEDES BENZ,MB-107,10.6,A3,276,FUEL INJ.,3.07
FORD,F-100,10.4,M4,302,2 BARREL,3.25
AMERICAN MOTORS,WAGONEER,10.1,M3,258,1 BARREL,4.09
FORD,BRONCO,10.1,M3,302,2 BARREL,3.50
(GM) PONTIAC,VENTURA,9.9,A3,350,4 BARREL,3.08
FORD,E-200,9.6,A3,302,2 BARREL,3.25
IHC,SCOUT  (4WD),9.6,M3,304,2 BARREL,3.73
FORD,BRONCO,9.4,A3,302,2 BARREL,4.11
 (GM) PONTIAC,GTO,8.9,A3,350,4 BARREL,3.08
(GM) PONTIAC,GTO,8.9,M4,350,4 BARREL,3.08
FORD,F-100,8.6,A3,302,2 BARREL,3.25
MASERATI,120,7.8,MS,301,8 BARREL,3.77
lAMBORGHINI,JARAMA 400GT,7.3,MS,240,12 BARREL,4.50
lAMBORGHINI,ESPADA 400GT,7.2,MS,240,12 BARREL,4.5
FERRARI,365 GTB-4,6.5,MS,268,12 BARREL,3.30
FERRARI,365 GTB-4,6.3,MS,268,12 BARREL,3.30
FORD,MONTEGO,9.1,A3,351,2 BARREL,2.75
(GM) BUICK,GRAN SPORT,9.1,A3,455,4 BARREL,3.42
FORD,RANCHERO,9.0,M4,351,4 BARREL,3.50
(GM) PONTIAC,LEMANS,9.0,A3,350,4 BARREL,3.08
IHC,100 PICKUP (2WD),9.0,A3,345,4 BARREL,3.54
FORD,TORINO,8.8,A3,400,2 BARREL,3.25
(GM) BUICK,REGAL,8.8,A3,350,2 BARREL,2.73
(GM) BUICK,CENTURY 350,8.8,A3,455,2 BARREL,3.42
(GM) PONTIAC,GRAND AM,8.8,A3,400,2 BARREL,2.93
FORD,F-100,8.7,A3,360,2 BARREL,3.00
FORD,F-100,8.7,A3,360,2 BARREL,4.11
IHC,100 PICKUP (2WD),8.7,MS,345,4 BARREL,4.09
(GM) PONTIAC,TRANS AM,8.6,M4,400,4 BARREL,3.42
AMERICAN MOTORS,TRUCK,8.5,M3,360,2 BARREL,4.09
(CHRYS) PLYMOUTH,PlYMOUTH INTERMEDIATE,8.5,A3,440,4 BARREL,3.55
(GM) CHEVROLET,G-10 BEAUVILLE,8.5,M3,350,2 BARREL,3.73
IHC,SCOUT (4WD),8.5,A3,345,4 BARREL,3.73
ss  AUTOMOBILE,EXCALIBUR   II,8.5,A3,454,4 BARREL,3.08
(GM) PONTIAC,GRAND PRIX SJ,8.4,A3,455,4 BARREL,3.23
(GM) PONTIAC,LEMANS,8.4,M4,350,2 BARREL,3.23
TOYOTA,LAND CRUISER WAGON,8.3,M4,237,2 BARREL,4.11
(GM) PONTIAC,TRANS. AM,8.2,A3,455,4 BARREL,3.08
  JENSEN,INTERCEPTOR,8.2,A3,440,4 BARREL,3.07
(GM) PONTIAC,TRANS.  AM,7.9,M4,455,4 BARREL,3.42
(GM) CHEVROLET,LAGUNA,7.6,M4,454,4 BARREL,3.42
IHC,SCOUT (2WD),7.4,M4,345,4 BARREL,3.73
  (CHRYS) DODGE,DODGE TRUCK,7.3,A3,440,4 BARREL,3.23
(GM) OLDSMOBILE,CUTLASS S,7.3,A3,455,4 BARREL,1.23
FORD,MONTEGO WAGON,11.4,A3,302,2 BARREL,3
(GM) CHEVROLET,IMPALA SPORT SEDAN,11.0,A3,350,2 BARREL,3.42
FORD,FORD,10.7,A3,351,2 BARREL,2.75
(CHRYS) PLYMOUTH,PLYMOUTH,10.4,A3,360,2 BARREL,2.71
FORD,FORD WAGON,10.4,A3,351,2 BARREL,2.75
(GM) BUICK,LESABRE,10.4,A3,350,4 BARREL,3.23
FORD,TORINO WAGON,10.3,A3,351,2 BARREL,3.00
(CHRYS) PLYMOUTH   ,PLYMOUTH INTERMEDIATE,10.2,A3,360,4 BARREL,2.76
(GM) CHEVROLET,G-30 SPORlIAN,10.1,M3,350,4 BARREL,4.10
FORD,FORD,10.0,A3,400,2 BARREL,2.75
(GM) BUICK,LESABRE,10.0,A3,350,2 BARREL,3.23
(CHRYS) PLYMOUTH,PLYMOUTH,9.9,A3,360,4 BARREL,2.71
FORD,MONTEGO,9.9,A3,351,2 BARREL,3.25
FORD,MONTEGO,9.9,A3,351,2 BARREL,3.25
IHC,100 TALL (2WD),9.8,A3,401,2 BARREL,3.54
(GM) BUICK,CENTURY LUXURY WAGON,9.7,A3,350,2 BARREL,3.23
FORD,FORD,9.6,A3,400,2 BARREL,3.00
FORD,FORD,9.6,A3,400,2 BARREL,3.00
FORD,MONTEGO,9.5,A3,351,4 BARREL,3.25
FORD,TORI NO  STATION  WAGON,9.5,A3,351,2 BARREL,3
FORD,FORD,9.3,A3,351,2 BARREL,3.07
FORD,COUGAR,9.3,A3,351,4 BARREL,3.25
ROLLS - ROYCE,SILVER  SHADOW,9.3,A3,412,2 BARREL,3.07
(GM) PONTIAC,CATALINA   SEDAN,9.2,A3,400,4 BARREL,3.08
(GM) CHEVROLET,K-10  BLAZER,9.2,A3,350,2 BARREL,4.11
(CHRYS) CHRYSLER,CHRYSLER,9.1,A3,440,4 BARREL,2.71
FORD,FORD,9.1,A3,460,4 BARREL,3.00
FORD,MONTEGO,9.1,A3,351,2 BARREL,3.25
  (GM) BUICK,LESABRE,9.0,A3,350,4 BARREL,3.08
(GM) BUICK,LESABRE,9.0,A3,350,2 BARREL,2.73
(GM ) OLDSMOBILE,DELTA 88 ROYAL,9.0,A3,350,4 BARREL,3.08
(CHRYS) CHRYSLER,CHRYSLER,8.9,A3,400,2 BARREL,2.71
(CHRYS) PLYMOUTH,PLYMOUTH,8.9,A3,400,4 BARREL,3.23
{GM) CHEVROLET,C-10  SUBURBAN,8.8,A3,454,4 BARREL,3.07
(GM) CHEVROLET,CAPRIC E CLASSIC SPORT,8.8,A3,400,2 BARREL,3.42
(CHRYS) CHRYSLER,CHRYS LER,8.7,A3,400,2 BARREL,2.71
(CHRYS) PLYMOUTH,PLYMOUTH,8.7,A3,400,4 BARREL,2.71
(GM) BUICK,LESABRE,8.7,A3,455,2 BARREL,3.23
(GM ) OLDSMOBILE,VI STA  CRUISER,8.7,A3,350,4 BARREL,3.23
(CHRYS) PLYMOUTH,PlYMOUTH,8.6,A3,400,4 BARREL,2.71
FORD,COUGAR,8.6,A3,460,4 BARREL,3
FORD,COUGAR,8.6,A3,460,4 BARREL,3.25
(GM) CHEVROLET,CAPRI CE CLASSIC SEDAN,8.6,A3,454,4 BARREL,2.73
(GM) PONTIAC,LEMANS SAFAR I,8.6,A3,350,2 BARREL,3.08
 (CHRYS ) DODGE,DODGE  SPORT  WAGON,8.5,A3,360,4 BARREL,3.73
(CHRYS) CHRYSLER,CHRYS LER,8.4,A3,440,4 BARREL,2.71
FORD,TORINO  WAGON,8.3,A3,351,2 BARREL,3.25
IHC,100 TALL (2WD),8.3,M4,401,2 BARREL,3.54
(CHRYS) DODGE,DODGE,8.2,A3,400,4 BARREL,3.23
(CHRYS) DODGE,DODGE,8.1,A3,440,4 BARREL,3.23
(GM) BUICK,LESABRE,8.1,A3,455,2 BARREL,2.73
(GM) PONTIAC,GRAND VILLE,8.1,A3,455,2 BARREL,2.93
(CHRYS) DODGE,DODGE,7.9,A3,400,2 BARREL,3.23
(GM) PONTIAC,BONNEVILLE,7.8,A3,400,2 BARREL,3.23
(GM) BUICK,LESABRE,7.6,A3,455,2 BARREL,2.73
(CHRYS) PLYMOUTH,PLYMOUTH,7.4,A3,400,4 BARREL,2.71
IHC,100 TALL (2WD),7.2,M5,345,2 BARREL,4.09
(GM) CADILLAC,ELDORADO,10.4,A3,500,4 BARREL,3.07
(GM) CHEVROLET,IMPALA ESTATE WAGON,10,A3,454,4 BARREL,3.42
(GM) BUICK,ESTATE WAGON,9.6,A3,455,4 BARREL,3.23
(GM) CHEVROLET,CAPRICE WAGON,9.6,A3,400,4 BARREL,3.42
FORD,FORD WAGON,9.5,A3,400,2 BARREL,2.75
FORD,FORD STATION WAGON,10.5,A4,401,3 BARREL,3
(GM) BUICK,ESTATE WAGON,9.3,A3,455,4 BARREL,3.23
CHECKER,CHECKER AEROBUS,9.1,A3,350,4 BARREL,3.54
FORD,FORD STATION WAGON,9,,400,2 BARREL,3
(CHRYS) CHRYSLER,CHRYSLER WAGON,8.9,,440,4 BARREL,3.23
(CHRYS) PLYMOUTH,PLYMOUTH WAGON,8.9,,400,2 BARREL,3.23
(GM) CADILLAC,DEVILLE,8.9,A3,472,4 BARREL,2.93
 (GM) CHEVROLET, CAPRICE   WAGON,8.8,A3,400,4 BARREL,3.42
FORD,FORD WAGON,8.7,A3,400,2 BARREL,3.25
(GM) CADILLAC,FLEETWOOD 75LI,8.7,A3,472,4 BARREL,3.15
(GM) PONTIAC,STAGEWAY COACH,8.5,A3,455,4 BARREL,3.23
GM) PONTIAC,GRANO SAFARI,8.4,A3,455,4 BARREL,3.23
(GM) BUICK,ELECTRA 225,8.3,A3,455,4 BARREL,2.73
(GM) OLDSMOBILE,TORONADO,8.3,A3,455,4 BARREL,2.73
(GM) PONTIAC,CATALINA SAFARI,8.3,A3,400,2 BARREL,3.08
(CHRYS) DODGE,DODGE WAGON,8.2,A3,400,2 BARREL,2.71
(GM) CADILLAC,FLEETWOOD 75LI,8.2,A3,472,4 BARREL,3.15
FORD,MERCURY,8.1,A3,460,4 BARREL,2.75
(GM) BUICK,ESTATE WAGON,8.1,A3,455,4 BARREL,3.23
